Video Category
ADHD Awareness
Abrasive Wheels
Alcohol Personal Licence Holder
Allergen Awareness
Anti-Bribery and Corruption
Anti-Money Laundering
Asbestos Awareness
Asbestos Awareness for Architects and Designers
Assessing Display Screen Equipment
Autism Awareness
Banksman Training
Basic Fire Safety Awareness
Basic Fire Safety Awareness for Care Homes
Basic Legionella Management
Behavioural Safety
CDM Awareness
Control of Substances Hazardous to Health (COSHH)
Customer Service
Cyber Security
Developing Good Employee Relations
Developing Teamwork
Diabetes Awareness
Display Screen Equipment Awareness
Drug and Alcohol Awareness
Duty of Care
Effective Delegation
Electrical Safety
Emergency First Aid at Work - Online Annual Refresher
Environmental Awareness
Epilepsy Awareness
"Equality, Diversity and Discrimination"
Facebook for Business
Fire Doors
Fire Extinguisher
Fire Marshal
Fire Marshal for Care Homes
Hand Arm Vibration Syndrome
Health and Safety in a Care Setting
Hot Works
Infection Control
Instagram for Business
Introducing GDPR
Introduction to AI
Introduction to AI Prompt Engineering
Introduction to Emotional Intelligence
Introduction to Generative AI
Introduction to HACCP Level 2
Introduction to Personal Safety for Lone Workers
Introduction to the Safe Handling of Medicines
Ladder Safety
Leadership Skills
Level 1 Food Safety - Catering
Level 1 Food Safety - Manufacturing
Level 1 Food Safety - Retail
Level 1 Health and Safety in a Construction Environment (Leading to CSCS Green Card)
Level 2 Food Safety - Catering
Level 2 Food Safety - Manufacturing
Level 2 Food Safety - Retail
Lifting Operations and Lifting Equipment Regulations (LOLER)
LinkedIn for Business
"Lock Out, Tag Out (LOTO)"
Managing Meetings
Managing Sickness and Absence
Manual Handling
Mental Capacity Act and Deprivation Of Liberty Safeguards
Mental Health First Aid
Modern Slavery
Nutrition and Hydration
Objective Setting
Paediatric First Aid
Personal Protective Equipment
Project Management
Provision and Use of Work Equipment Regulations (PUWER)
Safeguarding Adults
Safeguarding Children
Search Engine Optimisation for Business
Sexual Harassment in the Workplace
Sharps Awareness
"Slips, Trips and Falls"
Social Media Marketing
Stroke Awareness
Supervising Food Safety - Level 3
TikTok for Business
Time Management
Twitter for Business
Working Safely
Working Within the Private Security Industry
Working at Height
